CNN-INTEGRATED SPECK COMPREHENSIVE SECURITY REPORT
------------------------------------------------------------------------------------------------------------------------
Image           | Enc_T(s) | Dec_T(s) | Entp   | NPCR%  | UACI%  | PSNR   | Corr_H | Corr_V | Corr_D
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2048_1024_size512.png | 0.0866   | 0.0773   | 7.6297 | 99.84  | 27.35  | 9.38   | -0.029 | 0.005  | 0.029 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2048_1536_size512.png | 0.0925   | 0.0825   | 7.6344 | 99.81  | 27.39  | 9.42   | -0.030 | 0.022  | 0.038 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2048_2048_size512.png | 0.0856   | 0.0753   | 7.6334 | 99.85  | 25.89  | 9.99   | -0.005 | 0.006  | 0.010 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2048_2560_size512.png | 0.0873   | 0.0787   | 7.6399 | 99.84  | 26.25  | 9.86   | -0.013 | 0.019  | 0.018 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2048_3072_size512.png | 0.0881   | 0.0790   | 7.6452 | 99.84  | 27.71  | 9.26   | -0.011 | 0.009  | 0.000 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2048_3584_size512.png | 0.0981   | 0.0940   | 7.6392 | 99.79  | 28.87  | 8.89   | -0.053 | -0.023 | -0.015
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2048_4096_size512.png | 0.0872   | 0.0781   | 7.6334 | 99.83  | 27.84  | 9.22   | -0.036 | 0.013  | 0.012 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2048_512_size512.png | 0.0907   | 0.0809   | 7.6063 | 99.82  | 28.57  | 8.93   | -0.056 | 0.028  | 0.028 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2560_0_size512.png | 0.0870   | 0.0762   | 7.6150 | 99.85  | 29.54  | 8.62   | -0.068 | 0.003  | -0.001
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2560_1024_size512.png | 0.0909   | 0.0819   | 7.6222 | 99.82  | 28.26  | 9.06   | -0.064 | 0.004  | 0.008 
TCGA-A1-A0SP-DX1_xmin6798_ymin53719_MPP-0_2560_1536_size512.png | 0.0941   | 0.0867   | 7.6276 | 99.81  | 27.99  | 9.20   | -0.053 | 0.027  | 0.009 
