CNN-INTEGRATED SPECK COMPREHENSIVE SECURITY REPORT
------------------------------------------------------------------------------------------------------------------------
Image           | Enc_T(s) | Dec_T(s) | Entp   | NPCR%  | UACI%  | PSNR   | Corr_H | Corr_V | Corr_D
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_3072_512_size512.png | 0.0937   | 0.0841   | 7.6282 | 99.83  | 29.32  | 8.73   | -0.037 | 0.034  | -0.025
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_3072_5632_size512.png | 0.0988   | 0.0917   | 7.6309 | 99.80  | 28.66  | 8.97   | -0.067 | 0.044  | 0.027 
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_3072_6144_size512.png | 0.0964   | 0.0916   | 7.6399 | 99.81  | 28.38  | 9.07   | -0.067 | 0.015  | 0.035 
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_3072_6656_size512.png | 0.0978   | 0.0860   | 7.6271 | 99.81  | 30.01  | 8.51   | -0.050 | 0.065  | 0.047 
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_512_0_size512.png | 0.0898   | 0.0803   | 7.6318 | 99.85  | 29.56  | 8.62   | -0.044 | -0.019 | 0.007 
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_512_1024_size512.png | 0.0922   | 0.0826   | 7.6492 | 99.83  | 28.28  | 9.03   | 0.012  | 0.046  | 0.012 
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_512_1536_size512.png | 0.0957   | 0.0888   | 7.6218 | 99.82  | 30.19  | 8.44   | -0.028 | 0.029  | 0.011 
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_512_2048_size512.png | 0.0934   | 0.0848   | 7.6093 | 99.82  | 31.22  | 8.16   | -0.067 | -0.001 | 0.032 
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_512_2560_size512.png | 0.0934   | 0.0848   | 7.6025 | 99.82  | 31.29  | 8.14   | -0.060 | 0.044  | 0.022 
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_512_3072_size512.png | 0.1117   | 0.0942   | 7.6231 | 99.80  | 30.54  | 8.37   | -0.057 | 0.043  | 0.034 
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_512_3584_size512.png | 0.0956   | 0.0903   | 7.6112 | 99.81  | 31.29  | 8.15   | -0.077 | 0.016  | 0.023 
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_512_4096_size512.png | 0.0933   | 0.0858   | 7.5969 | 99.82  | 31.76  | 8.02   | -0.101 | 0.020  | 0.006 
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_512_4608_size512.png | 0.0882   | 0.0802   | 7.5122 | 99.85  | 33.35  | 7.60   | -0.149 | 0.019  | 0.044 
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_512_5120_size512.png | 0.0936   | 0.0850   | 7.5907 | 99.82  | 32.09  | 7.92   | -0.121 | 0.059  | 0.020 
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_512_512_size512.png | 0.0904   | 0.0789   | 7.6484 | 99.85  | 27.92  | 9.12   | -0.025 | 0.007  | 0.013 
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_512_5632_size512.png | 0.0921   | 0.0830   | 7.5614 | 99.84  | 32.61  | 7.79   | -0.089 | 0.006  | -0.020
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_512_6144_size512.png | 0.0924   | 0.0808   | 7.5247 | 99.83  | 32.54  | 7.81   | -0.110 | 0.047  | 0.003 
TCGA-BH-A0E6-DX1_xmin54786_ymin20002_MPP-0_512_6656_size512.png | 0.0839   | 0.0762   | 7.5412 | 99.89  | 31.90  | 7.95   | -0.079 | 0.097  | 0.045 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_0_0_size512.png | 0.0973   | 0.0904   | 7.6297 | 99.81  | 28.31  | 9.09   | -0.042 | 0.009  | 0.015 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_0_1024_size512.png | 0.0882   | 0.0786   | 7.6324 | 99.86  | 28.34  | 9.03   | -0.083 | 0.044  | 0.014 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_0_1536_size512.png | 0.0914   | 0.0813   | 7.6159 | 99.84  | 28.61  | 8.93   | -0.080 | 0.003  | 0.016 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_0_2048_size512.png | 0.0937   | 0.0848   | 7.6236 | 99.82  | 28.78  | 8.91   | -0.057 | 0.015  | 0.032 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_0_2560_size512.png | 0.0922   | 0.0828   | 7.6245 | 99.83  | 29.33  | 8.71   | -0.117 | 0.016  | 0.018 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_0_3072_size512.png | 0.0947   | 0.0892   | 7.6364 | 99.81  | 28.26  | 9.11   | -0.050 | 0.012  | 0.016 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_0_3584_size512.png | 0.0916   | 0.0794   | 7.6412 | 99.84  | 27.69  | 9.27   | -0.061 | 0.002  | 0.017 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_0_4096_size512.png | 0.0906   | 0.0816   | 7.6551 | 99.85  | 27.92  | 9.17   | -0.032 | 0.008  | -0.003
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_0_4608_size512.png | 0.0919   | 0.0820   | 7.6513 | 99.84  | 28.65  | 8.91   | -0.044 | 0.006  | -0.045
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_0_5120_size512.png | 0.0926   | 0.0824   | 7.6513 | 99.83  | 29.18  | 8.74   | -0.053 | -0.015 | 0.021 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_0_512_size512.png | 0.0947   | 0.0839   | 7.6244 | 99.82  | 28.36  | 9.05   | -0.094 | 0.022  | 0.020 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1024_0_size512.png | 0.0942   | 0.0871   | 7.6234 | 99.82  | 28.95  | 8.85   | -0.090 | 0.025  | -0.002
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1024_1024_size512.png | 0.0882   | 0.0779   | 7.6052 | 99.86  | 28.67  | 8.89   | -0.091 | 0.012  | 0.029 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1024_1536_size512.png | 0.0870   | 0.0778   | 7.6185 | 99.87  | 28.18  | 9.06   | -0.097 | 0.040  | 0.006 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1024_2048_size512.png | 0.0923   | 0.0830   | 7.6203 | 99.83  | 28.82  | 8.88   | -0.096 | -0.001 | 0.012 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1024_2560_size512.png | 0.0851   | 0.0752   | 7.5953 | 99.88  | 29.60  | 8.56   | -0.126 | -0.006 | 0.015 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1024_3072_size512.png | 0.0884   | 0.0805   | 7.6175 | 99.85  | 29.10  | 8.76   | -0.087 | 0.053  | 0.036 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1024_3584_size512.png | 0.0922   | 0.0821   | 7.6372 | 99.83  | 27.88  | 9.22   | -0.077 | 0.027  | -0.015
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1024_4096_size512.png | 0.0923   | 0.0845   | 7.6492 | 99.83  | 29.06  | 8.80   | -0.058 | 0.044  | 0.009 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1024_4608_size512.png | 0.0939   | 0.0844   | 7.6560 | 99.82  | 29.07  | 8.79   | -0.038 | 0.020  | -0.021
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1024_5120_size512.png | 0.1013   | 0.0930   | 7.6511 | 99.81  | 29.55  | 8.66   | 0.000  | -0.003 | 0.020 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1024_512_size512.png | 0.0920   | 0.0840   | 7.6087 | 99.84  | 29.26  | 8.72   | -0.113 | 0.048  | 0.033 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1536_0_size512.png | 0.0936   | 0.0852   | 7.6273 | 99.83  | 28.99  | 8.83   | -0.072 | 0.007  | -0.016
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1536_1024_size512.png | 0.0954   | 0.0861   | 7.6189 | 99.82  | 28.78  | 8.90   | -0.119 | -0.002 | 0.025 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1536_1536_size512.png | 0.0853   | 0.0749   | 7.6152 | 99.88  | 29.51  | 8.61   | -0.129 | 0.022  | -0.032
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1536_2048_size512.png | 0.0835   | 0.0740   | 7.5255 | 99.89  | 32.25  | 7.81   | -0.180 | 0.079  | 0.025 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1536_2560_size512.png | 0.0857   | 0.0757   | 7.6078 | 99.88  | 29.91  | 8.47   | -0.089 | 0.011  | 0.017 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1536_3072_size512.png | 0.0906   | 0.0804   | 7.6191 | 99.84  | 29.11  | 8.76   | -0.095 | 0.004  | 0.020 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1536_3584_size512.png | 0.0943   | 0.0856   | 7.6375 | 99.81  | 28.44  | 9.04   | -0.076 | 0.054  | 0.019 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1536_4096_size512.png | 0.0953   | 0.0883   | 7.6497 | 99.81  | 29.74  | 8.60   | -0.039 | 0.000  | 0.011 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1536_4608_size512.png | 0.1121   | 0.0944   | 7.6493 | 99.80  | 30.10  | 8.50   | -0.041 | -0.007 | -0.006
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1536_5120_size512.png | 0.0936   | 0.0848   | 7.6477 | 99.83  | 29.47  | 8.67   | -0.040 | 0.034  | -0.004
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_1536_512_size512.png | 0.0938   | 0.0858   | 7.6270 | 99.81  | 28.67  | 8.95   | -0.085 | 0.000  | 0.012 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2048_0_size512.png | 0.0932   | 0.0849   | 7.6289 | 99.82  | 28.70  | 8.94   | -0.089 | 0.020  | -0.015
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2048_1024_size512.png | 0.0943   | 0.0857   | 7.6289 | 99.81  | 28.28  | 9.10   | -0.100 | 0.019  | 0.006 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2048_1536_size512.png | 0.0889   | 0.0789   | 7.6270 | 99.86  | 28.59  | 8.92   | -0.092 | 0.015  | 0.006 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2048_2048_size512.png | 0.0876   | 0.0770   | 7.6296 | 99.86  | 29.01  | 8.79   | -0.108 | 0.016  | 0.009 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2048_2560_size512.png | 0.0881   | 0.0792   | 7.6067 | 99.86  | 29.44  | 8.63   | -0.113 | 0.017  | 0.014 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2048_3072_size512.png | 0.0907   | 0.0815   | 7.6222 | 99.84  | 28.92  | 8.83   | -0.122 | -0.001 | 0.039 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2048_3584_size512.png | 0.0918   | 0.0826   | 7.6141 | 99.84  | 28.62  | 8.95   | -0.107 | -0.006 | 0.023 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2048_4096_size512.png | 0.0933   | 0.0842   | 7.6403 | 99.83  | 29.47  | 8.67   | -0.054 | 0.019  | 0.005 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2048_4608_size512.png | 0.1086   | 0.0993   | 7.6480 | 99.78  | 29.99  | 8.55   | -0.010 | -0.007 | 0.006 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2048_5120_size512.png | 0.1134   | 0.0977   | 7.6533 | 99.78  | 29.70  | 8.64   | -0.030 | 0.004  | 0.019 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2048_512_size512.png | 0.0938   | 0.0857   | 7.6247 | 99.82  | 29.17  | 8.78   | -0.063 | 0.022  | 0.006 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2560_0_size512.png | 0.0964   | 0.0895   | 7.6337 | 99.81  | 28.85  | 8.91   | -0.069 | -0.004 | 0.002 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2560_1024_size512.png | 0.0964   | 0.0907   | 7.6300 | 99.81  | 28.63  | 8.98   | -0.056 | -0.018 | 0.004 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2560_1536_size512.png | 0.0919   | 0.0864   | 7.6266 | 99.84  | 28.17  | 9.11   | -0.097 | 0.016  | 0.007 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2560_2048_size512.png | 0.0960   | 0.0898   | 7.6267 | 99.81  | 28.65  | 8.97   | -0.094 | -0.031 | 0.009 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2560_2560_size512.png | 0.0891   | 0.0808   | 7.6281 | 99.85  | 28.79  | 8.87   | -0.090 | 0.024  | 0.034 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2560_3072_size512.png | 0.0901   | 0.0824   | 7.6171 | 99.85  | 29.71  | 8.57   | -0.127 | -0.006 | 0.008 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2560_3584_size512.png | 0.0933   | 0.0862   | 7.6279 | 99.81  | 28.51  | 9.01   | -0.059 | 0.024  | 0.029 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2560_4096_size512.png | 0.0942   | 0.0854   | 7.6408 | 99.82  | 29.05  | 8.83   | -0.063 | 0.012  | 0.026 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2560_4608_size512.png | 0.1090   | 0.0957   | 7.6541 | 99.79  | 29.32  | 8.75   | -0.019 | 0.036  | 0.003 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2560_5120_size512.png | 0.1096   | 0.0952   | 7.6538 | 99.80  | 29.25  | 8.77   | -0.052 | -0.029 | 0.005 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_2560_512_size512.png | 0.0939   | 0.0859   | 7.6363 | 99.81  | 28.75  | 8.93   | -0.014 | 0.005  | 0.009 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_512_0_size512.png | 0.0956   | 0.0851   | 7.6319 | 99.82  | 28.40  | 9.05   | -0.077 | 0.006  | -0.010
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_512_1024_size512.png | 0.0847   | 0.0757   | 7.6160 | 99.89  | 28.00  | 9.11   | -0.135 | 0.009  | 0.041 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_512_1536_size512.png | 0.0933   | 0.0850   | 7.6269 | 99.82  | 28.59  | 8.97   | -0.104 | 0.023  | -0.022
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_512_2048_size512.png | 0.0954   | 0.0867   | 7.6287 | 99.81  | 28.44  | 9.04   | -0.028 | 0.003  | 0.001 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_512_2560_size512.png | 0.0880   | 0.0788   | 7.6084 | 99.86  | 29.16  | 8.73   | -0.114 | 0.033  | 0.030 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_512_3072_size512.png | 0.0938   | 0.0844   | 7.6327 | 99.83  | 28.40  | 9.04   | -0.055 | 0.042  | 0.047 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_512_3584_size512.png | 0.0951   | 0.0872   | 7.6373 | 99.82  | 28.57  | 9.00   | -0.072 | 0.029  | 0.026 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_512_4096_size512.png | 0.0932   | 0.0846   | 7.6555 | 99.83  | 28.84  | 8.87   | -0.049 | 0.011  | 0.059 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_512_4608_size512.png | 0.0946   | 0.0839   | 7.6596 | 99.83  | 28.68  | 8.91   | -0.013 | -0.008 | 0.001 
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_512_5120_size512.png | 0.0933   | 0.0848   | 7.6496 | 99.83  | 29.05  | 8.79   | -0.012 | 0.005  | -0.004
TCGA-BH-A0RX-DX1_xmin69099_ymin22327_MPP-0_512_512_size512.png | 0.0938   | 0.0866   | 7.6221 | 99.81  | 28.53  | 9.00   | -0.084 | 0.040  | 0.000 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_0_0_size512.png | 0.0927   | 0.0828   | 7.6216 | 99.83  | 29.29  | 8.71   | -0.085 | 0.017  | 0.033 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_0_1024_size512.png | 0.0891   | 0.0796   | 7.6079 | 99.86  | 29.12  | 8.76   | -0.090 | -0.036 | 0.031 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_0_1536_size512.png | 0.0912   | 0.0815   | 7.5997 | 99.83  | 29.03  | 8.79   | -0.126 | 0.012  | 0.050 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_0_2048_size512.png | 0.0925   | 0.0842   | 7.6135 | 99.84  | 28.46  | 9.00   | -0.042 | 0.010  | 0.015 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_0_2560_size512.png | 0.0880   | 0.0808   | 7.5332 | 99.85  | 31.53  | 8.06   | -0.144 | 0.030  | 0.022 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_0_3072_size512.png | 0.0937   | 0.0851   | 7.6214 | 99.82  | 28.78  | 8.90   | -0.075 | 0.030  | 0.002 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_0_3584_size512.png | 0.0937   | 0.0867   | 7.6254 | 99.83  | 29.08  | 8.79   | -0.040 | 0.040  | 0.060 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_0_4096_size512.png | 0.0934   | 0.0839   | 7.6285 | 99.83  | 28.62  | 8.94   | -0.099 | 0.028  | 0.044 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_0_4608_size512.png | 0.0934   | 0.0823   | 7.6200 | 99.84  | 29.00  | 8.81   | -0.109 | -0.002 | 0.022 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_0_5120_size512.png | 0.0928   | 0.0878   | 7.6220 | 99.82  | 28.53  | 8.99   | -0.088 | 0.023  | -0.013
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_0_512_size512.png | 0.0885   | 0.0807   | 7.6171 | 99.85  | 29.41  | 8.66   | -0.102 | 0.015  | 0.030 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_0_5632_size512.png | 0.0939   | 0.0849   | 7.6343 | 99.83  | 28.66  | 8.94   | -0.043 | 0.008  | 0.024 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_0_6144_size512.png | 0.0906   | 0.0811   | 7.6507 | 99.85  | 28.78  | 8.87   | -0.027 | 0.013  | 0.013 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_0_6656_size512.png | 0.0925   | 0.0831   | 7.6415 | 99.84  | 29.99  | 8.48   | -0.068 | 0.036  | 0.041 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1024_0_size512.png | 0.0914   | 0.0830   | 7.6116 | 99.84  | 28.97  | 8.82   | -0.080 | 0.032  | 0.011 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1024_1024_size512.png | 0.0904   | 0.0814   | 7.6292 | 99.85  | 28.85  | 8.85   | -0.060 | 0.002  | 0.043 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1024_1536_size512.png | 0.0931   | 0.0828   | 7.6028 | 99.83  | 29.46  | 8.66   | -0.078 | 0.014  | 0.053 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1024_2048_size512.png | 0.0868   | 0.0780   | 7.6117 | 99.87  | 31.05  | 8.17   | -0.146 | 0.039  | 0.019 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1024_2560_size512.png | 0.0941   | 0.0852   | 7.6498 | 99.81  | 29.28  | 8.72   | -0.018 | 0.015  | 0.030 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1024_3072_size512.png | 0.0915   | 0.0829   | 7.6465 | 99.83  | 28.79  | 8.86   | -0.038 | 0.017  | 0.029 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1024_3584_size512.png | 0.0928   | 0.0834   | 7.6564 | 99.83  | 28.31  | 9.04   | -0.018 | 0.012  | 0.012 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1024_4096_size512.png | 0.0934   | 0.0845   | 7.6401 | 99.83  | 28.71  | 8.91   | -0.094 | 0.051  | 0.004 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1024_4608_size512.png | 0.0941   | 0.0862   | 7.6136 | 99.82  | 28.43  | 9.02   | -0.097 | 0.012  | 0.020 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1024_5120_size512.png | 0.0934   | 0.0860   | 7.6180 | 99.83  | 28.78  | 8.91   | -0.056 | 0.000  | -0.022
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1024_512_size512.png | 0.0937   | 0.0817   | 7.6392 | 99.84  | 28.95  | 8.83   | -0.051 | 0.011  | -0.023
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1024_5632_size512.png | 0.0922   | 0.0848   | 7.6247 | 99.84  | 28.78  | 8.90   | -0.068 | -0.001 | 0.027 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1024_6144_size512.png | 0.0919   | 0.0827   | 7.6509 | 99.84  | 29.01  | 8.79   | -0.020 | -0.008 | 0.013 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1024_6656_size512.png | 0.0953   | 0.0818   | 7.6500 | 99.84  | 29.16  | 8.74   | -0.055 | -0.003 | 0.003 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1536_0_size512.png | 0.0904   | 0.0800   | 7.6139 | 99.85  | 28.74  | 8.89   | -0.095 | 0.015  | -0.002
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1536_1024_size512.png | 0.0925   | 0.0843   | 7.6637 | 99.84  | 27.66  | 9.27   | 0.002  | -0.002 | -0.001
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1536_1536_size512.png | 0.0916   | 0.0812   | 7.6308 | 99.84  | 28.72  | 8.90   | -0.083 | 0.015  | 0.003 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1536_2048_size512.png | 0.0900   | 0.0795   | 7.6082 | 99.85  | 29.46  | 8.64   | -0.128 | 0.021  | 0.026 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1536_2560_size512.png | 0.0919   | 0.0839   | 7.6457 | 99.83  | 29.46  | 8.65   | -0.027 | -0.003 | 0.003 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1536_3072_size512.png | 0.1008   | 0.0935   | 7.6489 | 99.81  | 29.27  | 8.75   | -0.012 | 0.030  | 0.014 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1536_3584_size512.png | 0.0938   | 0.0836   | 7.6285 | 99.83  | 29.89  | 8.56   | -0.056 | 0.060  | 0.030 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1536_4096_size512.png | 0.0945   | 0.0884   | 7.6242 | 99.81  | 28.40  | 9.05   | -0.046 | 0.007  | 0.002 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1536_4608_size512.png | 0.0942   | 0.0900   | 7.6323 | 99.82  | 28.23  | 9.11   | -0.061 | 0.011  | 0.024 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1536_5120_size512.png | 0.0899   | 0.0825   | 7.6220 | 99.84  | 28.93  | 8.82   | -0.034 | 0.022  | -0.018
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1536_512_size512.png | 0.0899   | 0.0832   | 7.6514 | 99.84  | 28.73  | 8.90   | -0.053 | 0.010  | 0.011 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1536_5632_size512.png | 0.0890   | 0.0810   | 7.6460 | 99.86  | 28.83  | 8.83   | -0.064 | -0.011 | 0.020 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1536_6144_size512.png | 0.0916   | 0.0842   | 7.6528 | 99.82  | 28.63  | 8.92   | -0.019 | 0.015  | 0.006 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_1536_6656_size512.png | 0.0913   | 0.0843   | 7.6493 | 99.82  | 28.92  | 8.83   | -0.030 | -0.008 | -0.007
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_2048_0_size512.png | 0.0913   | 0.0839   | 7.6199 | 99.83  | 29.05  | 8.80   | -0.079 | 0.050  | 0.011 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_2048_1024_size512.png | 0.0917   | 0.0833   | 7.6603 | 99.84  | 28.02  | 9.14   | -0.012 | 0.044  | -0.036
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_2048_1536_size512.png | 0.0905   | 0.0851   | 7.6255 | 99.84  | 29.06  | 8.79   | -0.064 | 0.011  | 0.057 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_2048_2048_size512.png | 0.0897   | 0.0821   | 7.6142 | 99.84  | 28.74  | 8.88   | -0.088 | 0.041  | 0.018 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_2048_2560_size512.png | 0.0923   | 0.0837   | 7.6237 | 99.83  | 29.03  | 8.80   | -0.069 | 0.012  | 0.019 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_2048_3072_size512.png | 0.0914   | 0.0881   | 7.6458 | 99.83  | 29.33  | 8.71   | -0.048 | 0.021  | 0.002 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_2048_3584_size512.png | 0.0926   | 0.0819   | 7.6131 | 99.85  | 29.67  | 8.61   | -0.082 | -0.004 | 0.028 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_2048_4096_size512.png | 0.0946   | 0.0892   | 7.6169 | 99.81  | 28.66  | 8.95   | -0.110 | 0.024  | 0.010 
TCGA-BH-A0WA-DX1_xmin56581_ymin24774_MPP-0_2048_4608_size512.png | 0.0917   | 0.0859   | 7.6215 | 99.82  | 28.62  | 8.95   | -0.075 | 0.031  | 0.015 
